-------------------------------------------------
JAM fits - from Pedro Jimenez-Delgado - July 2014
-------------------------------------------------
       Neutron's g2 structure function
-------------------------------------------------

      xB         g2         dg2       g2HT       dg2HT   
   0.001028  -0.001334   0.000100   0.000049   0.000743
   0.001057  -0.001350   0.000100   0.000050   0.000757
   0.001086  -0.001367   0.000101   0.000051   0.000772
   0.001117  -0.001383   0.000101   0.000052   0.000787
   0.001148  -0.001399   0.000101   0.000053   0.000803
   0.001180  -0.001416   0.000101   0.000054   0.000818
   0.001213  -0.001432   0.000102   0.000054   0.000834
   0.001247  -0.001449   0.000102   0.000055   0.000850
   0.001282  -0.001466   0.000102   0.000056   0.000867
   0.001318  -0.001483   0.000103   0.000057   0.000883
   0.001355  -0.001500   0.000103   0.000058   0.000900
   0.001393  -0.001517   0.000103   0.000059   0.000917
   0.001432  -0.001534   0.000103   0.000060   0.000935
   0.001472  -0.001551   0.000104   0.000061   0.000952
   0.001514  -0.001568   0.000104   0.000062   0.000970
   0.001556  -0.001586   0.000104   0.000063   0.000988
   0.001600  -0.001603   0.000105   0.000064   0.001007
   0.001644  -0.001621   0.000105   0.000065   0.001025
   0.001690  -0.001638   0.000105   0.000066   0.001044
   0.001738  -0.001656   0.000106   0.000067   0.001063
   0.001786  -0.001673   0.000106   0.000068   0.001083
   0.001837  -0.001691   0.000107   0.000069   0.001102
   0.001888  -0.001709   0.000107   0.000070   0.001122
   0.001941  -0.001727   0.000107   0.000071   0.001143
   0.001995  -0.001745   0.000108   0.000072   0.001163
   0.002051  -0.001763   0.000108   0.000074   0.001184
   0.002109  -0.001781   0.000109   0.000075   0.001205
   0.002168  -0.001799   0.000109   0.000076   0.001226
   0.002228  -0.001817   0.000110   0.000077   0.001248
   0.002291  -0.001835   0.000110   0.000078   0.001269
   0.002355  -0.001853   0.000111   0.000079   0.001291
   0.002421  -0.001871   0.000111   0.000080   0.001314
   0.002489  -0.001888   0.000112   0.000081   0.001336
   0.002559  -0.001906   0.000112   0.000082   0.001359
   0.002630  -0.001924   0.000113   0.000083   0.001382
   0.002704  -0.001942   0.000113   0.000084   0.001405
   0.002780  -0.001960   0.000114   0.000085   0.001429
   0.002858  -0.001978   0.000114   0.000086   0.001453
   0.002938  -0.001996   0.000115   0.000088   0.001477
   0.003020  -0.002014   0.000116   0.000089   0.001501
   0.003105  -0.002031   0.000116   0.000090   0.001525
   0.003192  -0.002049   0.000117   0.000091   0.001550
   0.003281  -0.002066   0.000117   0.000092   0.001575
   0.003373  -0.002084   0.000118   0.000093   0.001600
   0.003467  -0.002101   0.000119   0.000094   0.001625
   0.003565  -0.002118   0.000120   0.000095   0.001650
   0.003664  -0.002135   0.000120   0.000096   0.001676
   0.003767  -0.002152   0.000121   0.000097   0.001702
   0.003873  -0.002169   0.000122   0.000098   0.001727
   0.003981  -0.002185   0.000123   0.000099   0.001754
   0.004093  -0.002202   0.000124   0.000100   0.001780
   0.004207  -0.002218   0.000125   0.000101   0.001806
   0.004325  -0.002234   0.000126   0.000101   0.001833
   0.004446  -0.002250   0.000127   0.000102   0.001859
   0.004571  -0.002266   0.000128   0.000103   0.001886
   0.004699  -0.002281   0.000129   0.000104   0.001913
   0.004831  -0.002297   0.000130   0.000105   0.001939
   0.004966  -0.002312   0.000132   0.000105   0.001966
   0.005105  -0.002326   0.000133   0.000106   0.001993
   0.005248  -0.002341   0.000135   0.000107   0.002020
   0.005395  -0.002355   0.000136   0.000107   0.002047
   0.005546  -0.002369   0.000138   0.000108   0.002074
   0.005702  -0.002383   0.000140   0.000109   0.002101
   0.005861  -0.002396   0.000142   0.000109   0.002128
   0.006026  -0.002409   0.000144   0.000110   0.002155
   0.006194  -0.002421   0.000147   0.000110   0.002181
   0.006368  -0.002434   0.000149   0.000110   0.002208
   0.006546  -0.002446   0.000152   0.000111   0.002234
   0.006730  -0.002457   0.000154   0.000111   0.002261
   0.006918  -0.002468   0.000157   0.000111   0.002287
   0.007112  -0.002479   0.000160   0.000111   0.002313
   0.007311  -0.002489   0.000164   0.000111   0.002339
   0.007516  -0.002499   0.000167   0.000111   0.002364
   0.007727  -0.002508   0.000171   0.000111   0.002389
   0.007943  -0.002517   0.000175   0.000111   0.002414
   0.008166  -0.002525   0.000179   0.000111   0.002439
   0.008395  -0.002533   0.000184   0.000111   0.002463
   0.008630  -0.002541   0.000188   0.000110   0.002487
   0.008872  -0.002548   0.000193   0.000110   0.002511
   0.009120  -0.002554   0.000198   0.000109   0.002534
   0.009376  -0.002560   0.000203   0.000108   0.002556
   0.009638  -0.002565   0.000209   0.000108   0.002578
   0.009908  -0.002569   0.000215   0.000107   0.002599
   0.010186  -0.002573   0.000221   0.000106   0.002620
   0.010471  -0.002577   0.000227   0.000105   0.002640
   0.010765  -0.002580   0.000234   0.000104   0.002660
   0.011066  -0.002582   0.000240   0.000102   0.002678
   0.011376  -0.002583   0.000247   0.000101   0.002696
   0.011695  -0.002584   0.000254   0.000099   0.002714
   0.012023  -0.002584   0.000262   0.000098   0.002730
   0.012359  -0.002584   0.000269   0.000096   0.002745
   0.012706  -0.002582   0.000277   0.000094   0.002760
   0.013062  -0.002580   0.000285   0.000092   0.002774
   0.013428  -0.002578   0.000293   0.000089   0.002786
   0.013804  -0.002574   0.000302   0.000087   0.002798
   0.014191  -0.002570   0.000310   0.000084   0.002808
   0.014588  -0.002565   0.000319   0.000082   0.002817
   0.014997  -0.002560   0.000328   0.000079   0.002825
   0.015417  -0.002553   0.000337   0.000076   0.002832
   0.015849  -0.002546   0.000346   0.000073   0.002837
   0.016293  -0.002538   0.000355   0.000069   0.002841
   0.016749  -0.002529   0.000364   0.000066   0.002844
   0.017219  -0.002519   0.000374   0.000062   0.002845
   0.017701  -0.002509   0.000383   0.000058   0.002845
   0.018197  -0.002498   0.000393   0.000054   0.002843
   0.018707  -0.002485   0.000402   0.000049   0.002840
   0.019231  -0.002472   0.000411   0.000045   0.002835
   0.019770  -0.002459   0.000421   0.000040   0.002829
   0.020324  -0.002444   0.000430   0.000035   0.002820
   0.020893  -0.002428   0.000440   0.000030   0.002810
   0.021478  -0.002412   0.000449   0.000025   0.002799
   0.022080  -0.002395   0.000458   0.000019   0.002785
   0.022699  -0.002377   0.000467   0.000013   0.002770
   0.023335  -0.002358   0.000476   0.000007   0.002752
   0.023988  -0.002338   0.000484   0.000001   0.002733
   0.024660  -0.002317   0.000493  -0.000005   0.002713
   0.025351  -0.002295   0.000501  -0.000012   0.002690
   0.026062  -0.002273   0.000509  -0.000019   0.002665
   0.026792  -0.002250   0.000516  -0.000026   0.002639
   0.027542  -0.002225   0.000524  -0.000033   0.002611
   0.028314  -0.002200   0.000531  -0.000041   0.002581
   0.029107  -0.002174   0.000537  -0.000048   0.002549
   0.029923  -0.002147   0.000544  -0.000056   0.002516
   0.030761  -0.002119   0.000550  -0.000064   0.002481
   0.031623  -0.002090   0.000556  -0.000073   0.002445
   0.032509  -0.002060   0.000561  -0.000081   0.002407
   0.033420  -0.002029   0.000566  -0.000090   0.002368
   0.034356  -0.001998   0.000570  -0.000099   0.002329
   0.035318  -0.001965   0.000574  -0.000108   0.002289
   0.036308  -0.001931   0.000578  -0.000118   0.002248
   0.037325  -0.001897   0.000581  -0.000127   0.002208
   0.038371  -0.001861   0.000585  -0.000137   0.002168
   0.039446  -0.001824   0.000587  -0.000147   0.002128
   0.040551  -0.001787   0.000590  -0.000157   0.002090
   0.041687  -0.001748   0.000592  -0.000167   0.002053
   0.042855  -0.001708   0.000594  -0.000177   0.002020
   0.044055  -0.001667   0.000597  -0.000187   0.001989
   0.045290  -0.001624   0.000599  -0.000198   0.001962
   0.046559  -0.001581   0.000601  -0.000208   0.001939
   0.047863  -0.001536   0.000604  -0.000219   0.001922
   0.049204  -0.001490   0.000607  -0.000229   0.001911
   0.050582  -0.001442   0.000610  -0.000240   0.001907
   0.052000  -0.001393   0.000614  -0.000251   0.001911
   0.053456  -0.001342   0.000619  -0.000261   0.001924
   0.054954  -0.001290   0.000624  -0.000272   0.001945
   0.056494  -0.001237   0.000631  -0.000282   0.001975
   0.058076  -0.001181   0.000639  -0.000292   0.002015
   0.059704  -0.001124   0.000648  -0.000302   0.002065
   0.061376  -0.001064   0.000659  -0.000312   0.002125
   0.063096  -0.001003   0.000671  -0.000322   0.002194
   0.064863  -0.000939   0.000685  -0.000332   0.002271
   0.066681  -0.000873   0.000701  -0.000341   0.002358
   0.068549  -0.000804   0.000719  -0.000350   0.002453
   0.070469  -0.000733   0.000739  -0.000358   0.002555
   0.072444  -0.000659   0.000760  -0.000366   0.002665
   0.074473  -0.000582   0.000783  -0.000374   0.002781
   0.076560  -0.000503   0.000809  -0.000381   0.002902
   0.078705  -0.000419   0.000835  -0.000388   0.003030
   0.080910  -0.000332   0.000864  -0.000394   0.003162
   0.083176  -0.000242   0.000894  -0.000399   0.003298
   0.085507  -0.000148   0.000925  -0.000404   0.003438
   0.087902  -0.000049   0.000958  -0.000408   0.003580
   0.090365   0.000054   0.000991  -0.000411   0.003726
   0.092897   0.000161   0.001026  -0.000413   0.003873
   0.095499   0.000274   0.001061  -0.000415   0.004022
   0.098175   0.000391   0.001096  -0.000415   0.004172
   0.100925   0.000514   0.001132  -0.000415   0.004322
   0.103753   0.000642   0.001168  -0.000413   0.004472
   0.106660   0.000776   0.001203  -0.000410   0.004621
   0.109648   0.000916   0.001238  -0.000406   0.004769
   0.112720   0.001063   0.001272  -0.000401   0.004916
   0.115878   0.001216   0.001306  -0.000395   0.005061
   0.119124   0.001376   0.001338  -0.000387   0.005202
   0.122462   0.001543   0.001369  -0.000378   0.005341
   0.125893   0.001718   0.001398  -0.000368   0.005476
   0.129420   0.001899   0.001426  -0.000356   0.005606
   0.133045   0.002089   0.001451  -0.000343   0.005732
   0.136773   0.002286   0.001474  -0.000328   0.005853
   0.140605   0.002491   0.001495  -0.000312   0.005968
   0.144544   0.002704   0.001514  -0.000294   0.006076
   0.148594   0.002925   0.001530  -0.000275   0.006178
   0.152757   0.003154   0.001543  -0.000254   0.006273
   0.157036   0.003391   0.001553  -0.000232   0.006361
   0.161436   0.003636   0.001560  -0.000209   0.006440
   0.165959   0.003889   0.001564  -0.000183   0.006512
   0.170608   0.004149   0.001566  -0.000157   0.006574
   0.175388   0.004416   0.001564  -0.000129   0.006628
   0.180302   0.004691   0.001560  -0.000100   0.006673
   0.185353   0.004971   0.001554  -0.000070   0.006708
   0.190546   0.005258   0.001545  -0.000038   0.006734
   0.195884   0.005550   0.001534  -0.000006   0.006750
   0.201372   0.005846   0.001521   0.000028   0.006756
   0.207014   0.006146   0.001507   0.000061   0.006753
   0.212814   0.006448   0.001491   0.000096   0.006740
   0.218776   0.006752   0.001475   0.000131   0.006718
   0.224905   0.007057   0.001459   0.000166   0.006686
   0.231206   0.007360   0.001442   0.000201   0.006646
   0.237684   0.007661   0.001427   0.000236   0.006597
   0.244343   0.007957   0.001412   0.000270   0.006540
   0.251189   0.008248   0.001399   0.000303   0.006475
