-------------------------------------------------
JAM fits - from Pedro Jimenez-Delgado - July 2014
-------------------------------------------------
       Proton's g2 structure function
-------------------------------------------------

      xB         g2         dg2       g2HT       dg2HT
   0.010000   0.006485   0.000195  -0.001512   0.000991
   0.020000   0.009284   0.000201  -0.003597   0.001100
   0.030000   0.011204   0.000223  -0.005502   0.001030
   0.040000   0.012604   0.000352  -0.007108   0.000948
   0.050000   0.013623   0.000519  -0.008383   0.000943
   0.060000   0.014328   0.000679  -0.009326   0.001039
   0.070000   0.014755   0.000815  -0.009950   0.001208
   0.080000   0.014927   0.000920  -0.010275   0.001409
   0.090000   0.014861   0.000992  -0.010324   0.001614
   0.100000   0.014567   0.001033  -0.010121   0.001808
   0.110000   0.014057   0.001044  -0.009691   0.001984
   0.120000   0.013339   0.001029  -0.009061   0.002137
   0.130000   0.012424   0.000994  -0.008253   0.002267
   0.140000   0.011320   0.000943  -0.007291   0.002373
   0.150000   0.010038   0.000884  -0.006198   0.002458
   0.160000   0.008589   0.000823  -0.004995   0.002523
   0.170000   0.006984   0.000768  -0.003703   0.002569
   0.180000   0.005235   0.000729  -0.002340   0.002600
   0.190000   0.003355   0.000713  -0.000924   0.002617
   0.200000   0.001355   0.000724   0.000529   0.002622
   0.210000  -0.000750   0.000763   0.002003   0.002618
   0.220000  -0.002947   0.000825   0.003483   0.002608
   0.230000  -0.005223   0.000903   0.004958   0.002591
   0.240000  -0.007564   0.000991   0.006416   0.002572
   0.250000  -0.009956   0.001084   0.007845   0.002551
   0.260000  -0.012385   0.001177   0.009236   0.002529
   0.270000  -0.014838   0.001268   0.010580   0.002508
   0.280000  -0.017301   0.001353   0.011870   0.002488
   0.290000  -0.019760   0.001432   0.013100   0.002471
   0.300000  -0.022204   0.001503   0.014262   0.002456
   0.310000  -0.024620   0.001566   0.015353   0.002445
   0.320000  -0.026994   0.001619   0.016368   0.002436
   0.330000  -0.029317   0.001662   0.017305   0.002430
   0.340000  -0.031575   0.001697   0.018159   0.002427
   0.350000  -0.033760   0.001721   0.018930   0.002426
   0.360000  -0.035861   0.001736   0.019615   0.002427
   0.370000  -0.037869   0.001743   0.020215   0.002430
   0.380000  -0.039774   0.001741   0.020730   0.002433
   0.390000  -0.041569   0.001731   0.021159   0.002436
   0.400000  -0.043246   0.001714   0.021503   0.002439
   0.410000  -0.044800   0.001690   0.021764   0.002442
   0.420000  -0.046223   0.001662   0.021944   0.002443
   0.430000  -0.047511   0.001629   0.022045   0.002443
   0.440000  -0.048659   0.001594   0.022068   0.002441
   0.450000  -0.049663   0.001557   0.022018   0.002437
   0.460000  -0.050522   0.001520   0.021897   0.002430
   0.470000  -0.051231   0.001484   0.021709   0.002421
   0.480000  -0.051791   0.001451   0.021456   0.002409
   0.490000  -0.052200   0.001423   0.021143   0.002393
   0.500000  -0.052458   0.001401   0.020774   0.002375
   0.510000  -0.052565   0.001386   0.020352   0.002353
   0.520000  -0.052525   0.001380   0.019881   0.002328
   0.530000  -0.052337   0.001382   0.019367   0.002300
   0.540000  -0.052006   0.001393   0.018812   0.002268
   0.550000  -0.051535   0.001413   0.018222   0.002233
   0.560000  -0.050927   0.001440   0.017601   0.002195
   0.570000  -0.050188   0.001475   0.016952   0.002153
   0.580000  -0.049322   0.001515   0.016280   0.002108
   0.590000  -0.048336   0.001559   0.015590   0.002060
   0.600000  -0.047235   0.001605   0.014884   0.002009
   0.610000  -0.046026   0.001653   0.014168   0.001955
   0.620000  -0.044717   0.001699   0.013445   0.001899
   0.630000  -0.043315   0.001744   0.012718   0.001839
   0.640000  -0.041828   0.001786   0.011992   0.001777
   0.650000  -0.040265   0.001824   0.011269   0.001713
   0.660000  -0.038634   0.001856   0.010554   0.001647
   0.670000  -0.036944   0.001882   0.009849   0.001578
   0.680000  -0.035205   0.001901   0.009156   0.001508
   0.690000  -0.033425   0.001912   0.008480   0.001437
   0.700000  -0.031614   0.001915   0.007821   0.001364
   0.710000  -0.029782   0.001909   0.007183   0.001290
   0.720000  -0.027937   0.001895   0.006568   0.001215
   0.730000  -0.026091   0.001871   0.005977   0.001140
   0.740000  -0.024252   0.001838   0.005412   0.001065
   0.750000  -0.022430   0.001796   0.004874   0.000990
   0.760000  -0.020633   0.001745   0.004365   0.000916
   0.770000  -0.018872   0.001685   0.003885   0.000843
   0.780000  -0.017153   0.001617   0.003435   0.000771
   0.790000  -0.015487   0.001541   0.003016   0.000700
   0.800000  -0.013881   0.001458   0.002628   0.000632
   0.810000  -0.012342   0.001368   0.002270   0.000565
   0.820000  -0.010878   0.001273   0.001943   0.000502
   0.830000  -0.009494   0.001174   0.001647   0.000441
   0.840000  -0.008197   0.001071   0.001380   0.000383
   0.850000  -0.006991   0.000966   0.001141   0.000329
   0.860000  -0.005880   0.000860   0.000931   0.000279
   0.870000  -0.004869   0.000754   0.000747   0.000233
   0.880000  -0.003958   0.000651   0.000588   0.000191
   0.890000  -0.003149   0.000550   0.000453   0.000153
   0.900000  -0.002443   0.000454   0.000340   0.000120
   0.910000  -0.001837   0.000365   0.000247   0.000091
   0.920000  -0.001330   0.000283   0.000173   0.000066
   0.930000  -0.000918   0.000210   0.000115   0.000046
   0.940000  -0.000594   0.000147   0.000072   0.000030
   0.950000  -0.000353   0.000095   0.000042   0.000018
   0.960000  -0.000184   0.000055   0.000021   0.000010
   0.970000  -0.000078   0.000026   0.000009   0.000004
   0.980000  -0.000022   0.000008   0.000003   0.000001
   0.990000  -0.000003   0.000000   0.000000   0.000000
